Date,VBK,BND,VTI,VWO
2004-08-19,39.801357,,39.57819,
2004-08-20,40.669746,,39.909896999999994,
2004-08-23,40.452656,,39.819427000000005,
2004-08-24,40.199368,,39.755337,
2004-08-25,40.733074,,40.109669,
2004-08-26,40.579291999999995,,40.090816,
2004-08-27,40.850677000000005,,40.237812,
2004-08-30,40.434554999999996,,39.951347,
2004-08-31,40.09082,,40.090816,
2004-09-01,40.714977000000005,,40.166206,
2004-09-02,41.14917,,40.618538,
2004-09-03,41.103947,,40.482815,
2004-09-07,41.375328,,40.765526,
2004-09-08,41.275818,,40.595905,
2004-09-09,41.637646000000004,,40.678841,
2004-09-10,41.637646000000004,,40.95023,
2004-09-13,42.650768,,41.014305,
2004-09-14,42.32513,,41.134926,
2004-09-15,42.216572,,40.878601,
2004-09-16,42.650768,,41.010536,
2004-09-17,42.551262,,41.134926,
2004-09-20,42.587452,,40.976616,
2004-09-21,42.641727,,41.240475,
2004-09-22,42.32513,,40.675064,
2004-09-23,42.34322,,40.501678000000005,
2004-09-24,42.34322,,40.59214,
2004-09-27,41.827614000000004,,40.38673,
2004-09-28,41.963287,,40.606121,
2004-09-29,42.32513,,40.696922,
2004-09-30,42.515083000000004,,40.765026,
2004-10-01,43.410625,,41.423244,
2004-10-04,43.772438,,41.559428999999994,
2004-10-05,43.736259000000004,,41.548088,
2004-10-06,43.835766,,41.801544,
2004-10-07,43.374432,,41.423244,
2004-10-08,43.365390999999995,,41.079014,
2004-10-11,43.039742,,41.177361,
2004-10-12,42.695999,,41.086575,
2004-10-13,42.596493,,40.783936,
2004-10-14,42.234665,,40.42078,
2004-10-15,42.34322,,40.640175,
2004-10-18,42.605545,,40.81797,
2004-10-19,42.424618,,40.458595,
2004-10-20,42.623634,,40.469955,
2004-10-21,43.256844,,40.655331,
2004-10-22,42.650768,,40.288357,
2004-10-25,42.668853999999996,,40.258117999999996,
2004-10-26,42.94928,,40.89365,
2004-10-27,43.844807,,41.396770000000004,
2004-10-28,43.790539,,41.377860999999996,
2004-10-29,43.826716999999995,,41.498917,
2004-11-01,43.980488,,41.559428999999994,
2004-11-02,43.826716999999995,,41.461082,
2004-11-03,44.306149,,41.998249,
2004-11-04,44.975533,,42.656498,
2004-11-05,45.464005,,42.807812,
2004-11-08,45.228821,,42.701889,
2004-11-09,45.48209,,42.747284,
2004-11-10,45.653976,,42.769974,
2004-11-11,46.088161,,43.170971,
2004-11-12,46.5676,,43.541706,
2004-11-15,46.703266,,43.571968,
2004-11-16,46.350494,,43.314724,
2004-11-17,46.603778999999996,,43.568176,
2004-11-18,46.685188000000004,,43.636272,
2004-11-19,45.934376,,43.106667,
2004-11-22,46.205760999999995,,43.390381,
2004-11-23,46.287159,,43.405521,
2004-11-24,46.811817,,43.655186,
2004-11-26,47.083191,,43.655186,
2004-11-29,47.101288000000004,,43.560608,
2004-11-30,47.028934,,43.466042,
2004-12-01,47.589748,,44.029697,
2004-12-02,47.689265999999996,,44.007003999999995,
2004-12-03,47.770683,,44.014576,
2004-12-06,47.625938,,43.988094,
2004-12-07,46.667099,,43.55682,
2004-12-08,47.001778,,43.730854,
2004-12-09,46.875149,,43.935134999999995,
2004-12-10,47.128437,,43.882179,
2004-12-13,47.607861,,44.298283000000005,
2004-12-14,48.114403,,44.49501,
2004-12-15,48.358639000000004,,44.638752000000004,
2004-12-16,47.960625,,44.563084,
2004-12-17,48.042049,,44.336113,
2004-12-20,47.644024,,44.256671999999995,
2004-12-21,48.023952,,44.669022,
2004-12-22,48.520485,,44.835471999999996,
2004-12-23,48.719822,,44.884646999999994,
2004-12-27,48.212414,,44.669487,
2004-12-28,48.864792,,45.042675,
2004-12-29,49.027893,,45.107418,
2004-12-30,48.982578000000004,,45.069332,
2004-12-31,48.873847999999995,,44.955096999999995,
2005-01-03,48.031197,,44.631405,
2005-01-04,47.052634999999995,,44.037341999999995,
2005-01-05,46.708324,,43.732685,
2005-01-06,46.708324,,43.942135,
2005-01-07,46.164684,,43.801235,
2005-01-10,46.708324,,43.976414,
2005-01-11,46.146557,,43.709846,
2005-01-12,46.219055,,43.904049,
2005-01-13,46.237175,,43.561314,
2005-01-14,46.481815000000005,,43.755531,
2005-01-18,47.097939000000004,,44.231564,
2005-01-19,46.862358,,43.835506,
2005-01-20,46.318718,,43.568939,
2005-01-21,46.173747999999996,,43.344254,
2005-01-24,45.457935,,43.111965000000005,
2005-01-25,45.702583000000004,,43.222396999999994,
2005-01-26,46.554297999999996,,43.488964,
2005-01-27,46.508998999999996,,43.549896000000004,
2005-01-28,46.318718,,43.389961,
2005-01-31,47.197609,,43.831699,
2005-02-01,47.505672,,44.079231,
2005-02-02,47.795624,,44.281071000000004,
2005-02-03,47.587231,,44.060184,
2005-02-04,48.103687,,44.612365999999994,
2005-02-07,48.303028000000005,,44.593323,
2005-02-08,48.402706,,44.669487,
2005-02-09,47.695941999999995,,44.250603000000005,
2005-02-10,47.532852,,44.402912,
2005-02-11,48.112755,,44.764697999999996,
2005-02-14,48.067451,,44.776123,
2005-02-15,48.158051,,44.936054,
2005-02-16,48.321152000000005,,44.943668,
2005-02-17,48.040264,,44.65044,
2005-02-18,47.868107,,44.631405,
2005-02-22,46.989208000000005,,43.957355,
2005-02-23,47.315391999999996,,44.189671000000004,
2005-02-24,47.795624,,44.524776,
2005-02-25,48.321152000000005,,44.970325,
2005-02-28,48.022144,,44.745644,
2005-03-01,48.339271999999994,,45.000793,
2005-03-02,48.538596999999996,,44.962708,
2005-03-03,48.429878,,45.012221999999994,
2005-03-04,48.674515,,45.465389,
2005-03-07,48.973518,,45.579624,
2005-03-08,48.647335,,45.290207,
2005-03-09,47.922466,,44.878929,
2005-03-10,47.587231,,44.798973,17.801779
2005-03-11,47.695941999999995,,44.654263,17.780487
2005-03-14,47.705017,,44.875134,17.674013000000002
2005-03-15,47.705017,,44.639010999999996,17.290726
2005-03-16,47.288216,,44.254406,17.141666
2005-03-17,47.433193,,44.30772,17.280079
2005-03-18,47.261028,,44.212521,17.304920000000003
2005-03-21,47.242915999999994,,44.07542,17.088432
2005-03-22,47.170425,,43.698421,16.815157
2005-03-23,46.744564000000004,,43.66415,16.66255
2005-03-24,47.034523,,43.674839,16.609316
2005-03-28,46.952971999999995,,43.713066,16.666098
2005-03-29,46.092194,,43.346088,16.304098
2005-03-30,46.47274,,43.934799,16.659004
2005-03-31,46.708324,,43.908024,16.751278
2005-04-01,46.626785,,43.720721999999995,16.769022
2005-04-04,46.7174,,43.865990000000004,16.861294
2005-04-05,46.807999,,44.003605,16.822257999999998
2005-04-06,47.034523,,44.103001,16.978413
2005-04-07,47.233856,,44.34383,17.049393
